name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Feierling Inselhopf,Hausbrauerei Feierling,Germany,Kellerbier / ZwickelbierRanked #1,Kellerbier / Zwickelbier,Ranked #1, 5%,"94Ranked #2,256",94,"Ranked #2,256",4.41 | pDev: 11.79%,4.41,11.79%,6,19,Active,"Aug 10, 2004"
Straphanger,Kings County Brewers Collective (KCBC),"New York, United States",Japanese Rice LagerRanked #24,Japanese Rice Lager,Ranked #24, 4.9%,"85Ranked #20,847",85,"Ranked #20,847",3.72 | pDev: 7.53%,3.72,7.53%,4,16,Active,"Jul 28, 2017"
Trooper Sun and Steel,Robinsons Family Brewers,"England, United Kingdom",Japanese Rice LagerRanked #25,Japanese Rice Lager,Ranked #25, 4.8%,"83Ranked #24,352",83,"Ranked #24,352",3.63 | pDev: 10.74%,3.63,10.74%,30,59,Active,"Apr 26, 2019"
Pinky Sweater,Sketchbook Brewing Company,"Illinois, United States",Japanese Rice LagerRanked #26,Japanese Rice Lager,Ranked #26, 5.5%,"85Ranked #22,136",85,"Ranked #22,136",3.64 | pDev: 7.42%,3.64,7.42%,2,13,Active,"Nov 12, 2016"
Pearl Pilsner,Denen Plaza Kawaba Brewery,Japan,Japanese Rice LagerRanked #27,Japanese Rice Lager,Ranked #27, 5.2%,"85Ranked #21,937",85,"Ranked #21,937",3.62 | pDev: 11.6%,3.62,11.6%,5,10,Active,"Apr 03, 2021"
Ukiyo,Three Taverns Craft Brewery,"Georgia, United States",Japanese Rice LagerRanked #28,Japanese Rice Lager,Ranked #28, 4.25%,"83Ranked #24,701",83,"Ranked #24,701",3.49 | pDev: 17.19%,3.49,17.19%,6,15,Active,"Nov 02, 2019"
Koji Gold,Proper Saké Co.,"Tennessee, United States",Japanese Rice LagerRanked #29,Japanese Rice Lager,Ranked #29, 4%,"82Ranked #25,023",82,"Ranked #25,023",3.4 | pDev: 17.35%,3.4,17.35%,7,11,Active,"Dec 05, 2019"
Koshihikari Echigo Beer,Echigo Beer Company Limited,Japan,Japanese Rice LagerRanked #30,Japanese Rice Lager,Ranked #30, 5%,"78Ranked #27,248",78,"Ranked #27,248",3.4 | pDev: 17.06%,3.4,17.06%,115,260,Active,"Apr 09, 2004"
Asahi Dry Premium,Asahi Breweries Ltd,Japan,Japanese Rice LagerRanked #31,Japanese Rice Lager,Ranked #31, 6%,"76Ranked #27,594",76,"Ranked #27,594",3.13 | pDev: 18.85%,3.13,18.85%,4,26,Active,"Jun 26, 2014"
Asahi Orion,Asahi Breweries Ltd,Japan,Japanese Rice LagerRanked #32,Japanese Rice Lager,Ranked #32, 5%,"75Ranked #27,811",75,"Ranked #27,811",3.02 | pDev: 22.85%,3.02,22.85%,5,24,Active,"Oct 03, 2011"
Orion Premium Draft Beer,"Orion Beer Co., Ltd.",Japan,Japanese Rice LagerRanked #33,Japanese Rice Lager,Ranked #33, 5%,"72Ranked #28,144",72,"Ranked #28,144",3.11 | pDev: 20.26%,3.11,20.26%,148,376,Active,"Dec 11, 2002"
Sapporo,Sleeman Breweries Ltd.,"Ontario, Canada",Japanese Rice LagerRanked #34,Japanese Rice Lager,Ranked #34, 5%,"70Ranked #28,306",70,"Ranked #28,306",2.87 | pDev: 16.03%,2.87,16.03%,11,51,Active,"Jul 06, 2014"
Asahi Draft (Jukusen),Asahi Breweries Ltd,Japan,Japanese Rice LagerRanked #35,Japanese Rice Lager,Ranked #35, 5%,"69Ranked #28,380",69,"Ranked #28,380",2.89 | pDev: 19.72%,2.89,19.72%,38,93,Active,"Nov 20, 2001"
Sapporo Original Draft Beer,Sapporo Breweries Ltd.,Japan,Japanese Rice LagerRanked #36,Japanese Rice Lager,Ranked #36, 5%,"69Ranked #28,421",69,"Ranked #28,421",2.94 | pDev: 21.77%,2.94,21.77%,107,531,Active,"Apr 24, 2001"
Asahi Super Dry,Asahi Breweries Ltd,Japan,Japanese Rice LagerRanked #37,Japanese Rice Lager,Ranked #37, 5%,"66Ranked #28,598",66,"Ranked #28,598",2.81 | pDev: 23.13%,2.81,23.13%,631,"1,874",Active,"Feb 15, 2002"
Lucky Buddha Enlightened Beer,The Lucky Drink Company,Australia,Japanese Rice LagerRanked #38,Japanese Rice Lager,Ranked #38, 4.8%,"64Ranked #28,690",64,"Ranked #28,690",2.7 | pDev: 25.19%,2.7,25.19%,236,787,Active,"Apr 06, 2007"
Taiwan Beer,Taiwan Tobacco & Liquor Corporation,Taiwan,Japanese Rice LagerRanked #39,Japanese Rice Lager,Ranked #39, 4.5%,"62Ranked #28,755",62,"Ranked #28,755",2.52 | pDev: 25.79%,2.52,25.79%,59,152,Active,"Feb 26, 2003"
Kirin Lager,"Kirin Brewery Company, Limited",Japan,Japanese Rice LagerRanked #40,Japanese Rice Lager,Ranked #40, 4.9%,"58Ranked #28,821",58,"Ranked #28,821",2.37 | pDev: 24.47%,2.37,24.47%,74,313,Active,"Mar 10, 2001"
Kvass,Scratch Brewing Company,"Illinois, United States",KvassRanked #1,Kvass,Ranked #1, 4.1%,"92Ranked #5,734",92,"Ranked #5,734",4.2 | pDev: 6.19%,4.2,6.19%,8,24,Active,"Nov 10, 2016"
Kvass,Jester King Brewery,"Texas, United States",KvassRanked #2,Kvass,Ranked #2, 4.4%,"88Ranked #13,480",88,"Ranked #13,480",3.95 | pDev: 7.09%,3.95,7.09%,27,85,Active,"Nov 23, 2016"
Zyto,Fox Farm Brewery,"Connecticut, United States",KvassRanked #3,Kvass,Ranked #3, 4.4%,"90Ranked #8,941",90,"Ranked #8,941",4.14 | pDev: 5.56%,4.14,5.56%,4,14,Active,"Nov 25, 2017"
Cornbread Kvass,Jester King Brewery,"Texas, United States",KvassRanked #4,Kvass,Ranked #4, 4.5%,"89Ranked #11,301",89,"Ranked #11,301",4.03 | pDev: 6.95%,4.03,6.95%,9,22,Active,"Jul 17, 2020"
Ticky Ticky Buzz,Fonta Flora Brewery,"North Carolina, United States",KvassRanked #5,Kvass,Ranked #5, 2.8%,"88Ranked #14,161",88,"Ranked #14,161",3.95 | pDev: 6.33%,3.95,6.33%,7,18,Active,"Sep 24, 2017"
Trial Of Dmitri,Benchtop Brewing Company,"Virginia, United States",KvassRanked #6,Kvass,Ranked #6, 4.5%,"87Ranked #15,958",87,"Ranked #15,958",3.9 | pDev: 8.97%,3.9,8.97%,3,12,Active,"Apr 07, 2017"
Underground,Fonta Flora Brewery,"North Carolina, United States",KvassRanked #7,Kvass,Ranked #7, 2.8%,"83Ranked #24,677",83,"Ranked #24,677",3.56 | pDev: 21.35%,3.56,21.35%,6,26,Active,"Oct 07, 2016"
Kvas (Hlebniy Kvas),All Stars Beverages,"Ontario, Canada",KvassRanked #8,Kvass,Ranked #8, 0.5%,"81Ranked #25,751",81,"Ranked #25,751",3.53 | pDev: 15.86%,3.53,15.86%,36,49,Active,"May 04, 2008"
Monastyrskiy Okroshka Kvass (Монастырский Окрошка Квас),Monastyrskiy Kvas,Ukraine,KvassRanked #9,Kvass,Ranked #9, 0.5%,"81Ranked #25,752",81,"Ranked #25,752",3.39 | pDev: 6.78%,3.39,6.78%,10,15,Active,"Dec 10, 2010"
Kvas Taras (квас тарас),Slavutych Brewery,Ukraine,KvassRanked #10,Kvass,Ranked #10, 1.2%,"80Ranked #26,300",80,"Ranked #26,300",3.4 | pDev: 15%,3.4,15%,16,24,Active,"Jan 18, 2011"
Kvas Yahont,Moskovskaya Pivovarennaya Kompaniya,Russia,KvassRanked #11,Kvass,Ranked #11, 1.2%,"81Ranked #26,016",81,"Ranked #26,016",3.34 | pDev: 14.07%,3.34,14.07%,9,14,Active,"Oct 11, 2014"
Danilo Okroshka Kvas,"Darl, Tov",Ukraine,KvassRanked #12,Kvass,Ranked #12,Not listed,"80Ranked #26,546",80,"Ranked #26,546",3.18 | pDev: 15.41%,3.18,15.41%,7,11,Active,"Dec 14, 2010"
Nesher Malt,Tempo Beer Industries LTD,Israel,KvassRanked #13,Kvass,Ranked #13, 0.3%,"78Ranked #27,300",78,"Ranked #27,300",3.08 | pDev: 20.45%,3.08,20.45%,8,15,Active,"Jan 06, 2011"
Khlebny Kvass (Classic Kvass),Gubernija Brewery,Lithuania,KvassRanked #14,Kvass,Ranked #14, 0.5%,"76Ranked #27,723",76,"Ranked #27,723",3.01 | pDev: 25.25%,3.01,25.25%,9,19,Active,"May 04, 2012"
Obolon Kwas Chlebowy,Obolon Brewery,Ukraine,KvassRanked #15,Kvass,Ranked #15,Not listed,"75Ranked #27,863",75,"Ranked #27,863",2.8 | pDev: 29.29%,2.8,29.29%,13,14,Active,"Dec 12, 2010"
Khlebny Kray,Baltika Breweries,Russia,KvassRanked #16,Kvass,Ranked #16, 1.2%,"73Ranked #28,040",73,"Ranked #28,040",2.92 | pDev: 18.15%,2.92,18.15%,18,27,Active,"Jun 27, 2010"
Ochakovskiy Kvass,Ochakovo,Russia,KvassRanked #17,Kvass,Ranked #17, 1.2%,"68Ranked #28,438",68,"Ranked #28,438",2.87 | pDev: 24.04%,2.87,24.04%,93,135,Active,"Jun 08, 2008"
Non Alcoholic Juicy IPA,Untitled Art,"Wisconsin, United States",Low-Alcohol BeerRanked #1,Low-Alcohol Beer,Ranked #1, 0.5%,"90Ranked #10,342",90,"Ranked #10,342",4.04 | pDev: 9.65%,4.04,9.65%,11,35,Active,"Jan 07, 2021"
Samuel Adams Just The Haze,Boston Beer Company (Samuel Adams),"Massachusetts, United States",Low-Alcohol BeerRanked #2,Low-Alcohol Beer,Ranked #2, 0.5%,"87Ranked #15,736",87,"Ranked #15,736",3.9 | pDev: 15.38%,3.9,15.38%,55,115,Active,"Mar 29, 2021"
Free Wave,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #3,Low-Alcohol Beer,Ranked #3, 0.4%,"86Ranked #19,703",86,"Ranked #19,703",3.81 | pDev: 14.17%,3.81,14.17%,74,163,Active,"Aug 19, 2019"
Guinness 0.0,Guinness Ltd.,Ireland,Low-Alcohol BeerRanked #4,Low-Alcohol Beer,Ranked #4,Not listed,"85Ranked #19,936",85,"Ranked #19,936",3.78 | pDev: 11.9%,3.78,11.9%,53,94,Active,"Oct 22, 2020"
Run Wild IPA,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #5,Low-Alcohol Beer,Ranked #5, 0.4%,"85Ranked #21,638",85,"Ranked #21,638",3.76 | pDev: 14.36%,3.76,14.36%,89,216,Active,"Jun 12, 2018"
Stump Jump,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #6,Low-Alcohol Beer,Ranked #6, 0.5%,"89Ranked #13,080",89,"Ranked #13,080",3.99 | pDev: 5.51%,3.99,5.51%,9,15,Active,"Oct 06, 2019"
Downwinder Gose,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #7,Low-Alcohol Beer,Ranked #7, 0.4%,"89Ranked #12,146",89,"Ranked #12,146",4.03 | pDev: 10.67%,4.03,10.67%,9,13,Active,"Oct 04, 2020"
NA Black Butte Porter,Deschutes Brewery,"Oregon, United States",Low-Alcohol BeerRanked #8,Low-Alcohol Beer,Ranked #8, 0.5%,"87Ranked #15,887",87,"Ranked #15,887",3.9 | pDev: 9.49%,3.9,9.49%,8,19,Active,"Feb 01, 2022"
Upside Dawn,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #9,Low-Alcohol Beer,Ranked #9, 0.4%,"84Ranked #23,224",84,"Ranked #23,224",3.7 | pDev: 13.24%,3.7,13.24%,59,133,Active,"Jun 12, 2018"
Non Alcoholic Italian Pilsner,Untitled Art,"Wisconsin, United States",Low-Alcohol BeerRanked #10,Low-Alcohol Beer,Ranked #10, 0.5%,"86Ranked #18,242",86,"Ranked #18,242",3.83 | pDev: 11.75%,3.83,11.75%,11,26,Active,"Aug 08, 2021"
Intentional IPA,WellBeing Brewing,"Missouri, United States",Low-Alcohol BeerRanked #11,Low-Alcohol Beer,Ranked #11, 0.3%,"85Ranked #21,096",85,"Ranked #21,096",3.75 | pDev: 12.27%,3.75,12.27%,17,38,Active,"Jan 01, 2020"
Pilot Program: Tucker's West Coast IPA,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #12,Low-Alcohol Beer,Ranked #12, 0.5%,"89Ranked #12,931",89,"Ranked #12,931",4.01 | pDev: 4.99%,4.01,4.99%,6,11,Active,"Sep 09, 2021"
All Out Extra Dark,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #13,Low-Alcohol Beer,Ranked #13, 0.5%,"83Ranked #23,748",83,"Ranked #23,748",3.67 | pDev: 13.08%,3.67,13.08%,48,84,Active,"Jan 18, 2019"
Oktoberfest,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #14,Low-Alcohol Beer,Ranked #14, 0.5%,"85Ranked #20,839",85,"Ranked #20,839",3.75 | pDev: 11.2%,3.75,11.2%,14,29,Active,"Sep 20, 2020"
S'mores Dark Brew,Untitled Art,"Wisconsin, United States",Low-Alcohol BeerRanked #15,Low-Alcohol Beer,Ranked #15, 0.5%,"88Ranked #14,273",88,"Ranked #14,273",3.96 | pDev: 8.33%,3.96,8.33%,5,11,Active,"Jan 10, 2022"
West Coast IPA,Best Day Brewing,"California, United States",Low-Alcohol BeerRanked #16,Low-Alcohol Beer,Ranked #16, 0.5%,"88Ranked #13,829",88,"Ranked #13,829",3.98 | pDev: 12.31%,3.98,12.31%,5,10,Active,"Feb 18, 2022"
Non Alcoholic West Coast IPA,Untitled Art,"Wisconsin, United States",Low-Alcohol BeerRanked #17,Low-Alcohol Beer,Ranked #17, 0.5%,"86Ranked #19,279",86,"Ranked #19,279",3.79 | pDev: 12.4%,3.79,12.4%,6,20,Active,"Oct 30, 2021"
Gold Rush,Boston Beer Company (Samuel Adams),"Massachusetts, United States",Low-Alcohol BeerRanked #18,Low-Alcohol Beer,Ranked #18, 0.5%,"88Ranked #15,629",88,"Ranked #15,629",3.91 | pDev: 5.37%,3.91,5.37%,7,12,Active,"Jan 22, 2023"
Non Alcoholic Florida Weisse,Untitled Art,"Wisconsin, United States",Low-Alcohol BeerRanked #19,Low-Alcohol Beer,Ranked #19, 0.4%,"86Ranked #18,480",86,"Ranked #18,480",3.81 | pDev: 22.83%,3.81,22.83%,6,16,Active,"Jan 25, 2021"
Weihenstephaner Original Alkoholfrei,Bayerische Staatsbrauerei Weihenstephan,Germany,Low-Alcohol BeerRanked #20,Low-Alcohol Beer,Ranked #20, 0.4%,"84Ranked #22,900",84,"Ranked #22,900",3.68 | pDev: 19.84%,3.68,19.84%,16,38,Active,"Aug 20, 2011"
Lemon Quest,Dogfish Head Craft Brewery,"Delaware, United States",Low-Alcohol BeerRanked #21,Low-Alcohol Beer,Ranked #21, 0.5%,"87Ranked #17,537",87,"Ranked #17,537",3.84 | pDev: 15.1%,3.84,15.1%,8,14,Active,"May 20, 2021"
Hellraiser Dark Amber,WellBeing Brewing,"Missouri, United States",Low-Alcohol BeerRanked #22,Low-Alcohol Beer,Ranked #22, 0.3%,"83Ranked #24,129",83,"Ranked #24,129",3.64 | pDev: 15.38%,3.64,15.38%,33,57,Active,"Jun 11, 2018"
Sunset Stoke,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #23,Low-Alcohol Beer,Ranked #23, 0.5%,"86Ranked #19,050",86,"Ranked #19,050",3.79 | pDev: 14.78%,3.79,14.78%,9,16,Active,"Nov 03, 2021"
Limbo Series: Raspberry,Mikkeller ApS,Denmark,Low-Alcohol BeerRanked #24,Low-Alcohol Beer,Ranked #24, 0.3%,"87Ranked #18,094",87,"Ranked #18,094",3.82 | pDev: 11.78%,3.82,11.78%,6,14,Active,"Sep 06, 2019"
Trail Pass IPA (Non-Alcoholic),Sierra Nevada Brewing Co.,"California, United States",Low-Alcohol BeerRanked #25,Low-Alcohol Beer,Ranked #25, 0.5%,"86Ranked #18,899",86,"Ranked #18,899",3.79 | pDev: 11.87%,3.79,11.87%,6,14,Active,"Jan 04, 2024"
Geralt's Gold,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #26,Low-Alcohol Beer,Ranked #26, 0.5%,"86Ranked #19,743",86,"Ranked #19,743",3.76 | pDev: 5.85%,3.76,5.85%,4,15,Active,"Jun 20, 2023"
Deep Fake,Flying Dog Brewery,"Maryland, United States",Low-Alcohol BeerRanked #27,Low-Alcohol Beer,Ranked #27, 0.5%,"86Ranked #18,226",86,"Ranked #18,226",3.81 | pDev: 14.44%,3.81,14.44%,6,12,Active,"Jul 07, 2021"
Chocolate Milk Stout,Untitled Art,"Wisconsin, United States",Low-Alcohol BeerRanked #28,Low-Alcohol Beer,Ranked #28, 0.5%,"85Ranked #21,683",85,"Ranked #21,683",3.7 | pDev: 10.81%,3.7,10.81%,10,20,Active,"Feb 13, 2021"
First Ride,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #29,Low-Alcohol Beer,Ranked #29, 0.5%,"85Ranked #21,075",85,"Ranked #21,075",3.71 | pDev: 12.4%,3.71,12.4%,10,16,Active,"Mar 06, 2021"
Krombacher Weizen Alkoholfrei,Krombacher Brauerei,Germany,Low-Alcohol BeerRanked #30,Low-Alcohol Beer,Ranked #30, 0.38%,"84Ranked #23,125",84,"Ranked #23,125",3.64 | pDev: 12.36%,3.64,12.36%,9,23,Active,"Apr 12, 2012"
Kolsch,Best Day Brewing,"California, United States",Low-Alcohol BeerRanked #31,Low-Alcohol Beer,Ranked #31, 0.5%,"86Ranked #18,269",86,"Ranked #18,269",3.8 | pDev: 17.89%,3.8,17.89%,3,10,Active,"Jul 22, 2021"
Santa Clausthaler,Binding-Brauerei AG,Germany,Low-Alcohol BeerRanked #32,Low-Alcohol Beer,Ranked #32, 0.5%,"84Ranked #22,826",84,"Ranked #22,826",3.64 | pDev: 18.96%,3.64,18.96%,10,19,Active,"Oct 24, 2020"
Bavaria 0.0% Wit,Swinkels Family Brewers,Netherlands,Low-Alcohol BeerRanked #33,Low-Alcohol Beer,Ranked #33,Not listed,"84Ranked #23,367",84,"Ranked #23,367",3.62 | pDev: 17.68%,3.62,17.68%,8,21,Active,"Jul 04, 2011"
Weird Weather Non-Alcoholic IPA,Mikkeller ApS,Denmark,Low-Alcohol BeerRanked #34,Low-Alcohol Beer,Ranked #34, 0.5%,"84Ranked #22,277",84,"Ranked #22,277",3.64 | pDev: 12.64%,3.64,12.64%,4,14,Active,"Feb 22, 2019"
Clausthaler Grapefruit Non-Alcoholic,Binding-Brauerei AG,Germany,Low-Alcohol BeerRanked #35,Low-Alcohol Beer,Ranked #35, 0.4%,"84Ranked #22,778",84,"Ranked #22,778",3.62 | pDev: 12.43%,3.62,12.43%,7,15,Active,"May 15, 2020"
Athletic Lite,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #36,Low-Alcohol Beer,Ranked #36, 0.5%,"82Ranked #25,013",82,"Ranked #25,013",3.54 | pDev: 13.84%,3.54,13.84%,13,27,Active,"Apr 23, 2022"
Grainwave,Ceria Brewing Co,"Colorado, United States",Low-Alcohol BeerRanked #37,Low-Alcohol Beer,Ranked #37, 0.5%,"83Ranked #23,790",83,"Ranked #23,790",3.58 | pDev: 9.78%,3.58,9.78%,12,18,Active,"Mar 27, 2020"
Special Effects Hoppy Amber,Brooklyn Brewery,"New York, United States",Low-Alcohol BeerRanked #38,Low-Alcohol Beer,Ranked #38, 0.4%,"80Ranked #26,407",80,"Ranked #26,407",3.48 | pDev: 16.38%,3.48,16.38%,34,66,Active,"Nov 16, 2018"
Special Effects Pils,Brooklyn Brewery,"New York, United States",Low-Alcohol BeerRanked #39,Low-Alcohol Beer,Ranked #39, 0.4%,"84Ranked #23,568",84,"Ranked #23,568",3.58 | pDev: 11.17%,3.58,11.17%,9,16,Active,"Nov 23, 2021"
Stella Artois Liberté,Stella Artois,Belgium,Low-Alcohol BeerRanked #40,Low-Alcohol Beer,Ranked #40,Not listed,"82Ranked #24,926",82,"Ranked #24,926",3.53 | pDev: 17.85%,3.53,17.85%,9,23,Active,"Sep 16, 2021"
Special Effects IPA,Brooklyn Brewery,"New York, United States",Low-Alcohol BeerRanked #41,Low-Alcohol Beer,Ranked #41, 0.5%,"81Ranked #25,723",81,"Ranked #25,723",3.5 | pDev: 17.43%,3.5,17.43%,18,32,Active,"Jan 15, 2021"
Wake Up Call Alcohol Free,BrewDog,"Scotland, United Kingdom",Low-Alcohol BeerRanked #42,Low-Alcohol Beer,Ranked #42, 0.5%,"85Ranked #21,593",85,"Ranked #21,593",3.64 | pDev: 9.89%,3.64,9.89%,7,10,Active,"Mar 26, 2020"
Clausthaler Dry Hopped,Binding-Brauerei AG,Germany,Low-Alcohol BeerRanked #43,Low-Alcohol Beer,Ranked #43, 0.5%,"79Ranked #26,734",79,"Ranked #26,734",3.45 | pDev: 18.26%,3.45,18.26%,48,92,Active,"Oct 28, 2016"
IPA,Rescue Club Brewing Company,"Vermont, United States",Low-Alcohol BeerRanked #44,Low-Alcohol Beer,Ranked #44, 0.5%,"84Ranked #23,152",84,"Ranked #23,152",3.58 | pDev: 11.73%,3.58,11.73%,6,13,Active,"Mar 10, 2021"
Drink'in The Sun,Mikkeller ApS,Denmark,Low-Alcohol BeerRanked #45,Low-Alcohol Beer,Ranked #45, 0.3%,"83Ranked #24,543",83,"Ranked #24,543",3.53 | pDev: 9.92%,3.53,9.92%,5,18,Active,"Mar 04, 2018"
Indiewave,Ceria Brewing Co,"Colorado, United States",Low-Alcohol BeerRanked #46,Low-Alcohol Beer,Ranked #46, 0.5%,"83Ranked #23,605",83,"Ranked #23,605",3.56 | pDev: 9.55%,3.56,9.55%,9,14,Active,"Jan 29, 2020"
Cerveza Atletica,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #47,Low-Alcohol Beer,Ranked #47, 0.5%,"80Ranked #26,618",80,"Ranked #26,618",3.45 | pDev: 15.07%,3.45,15.07%,29,62,Active,"Jul 09, 2019"
Irish Red,Sober Carpenter,"Quebec, Canada",Low-Alcohol BeerRanked #48,Low-Alcohol Beer,Ranked #48, 0.5%,"84Ranked #23,439",84,"Ranked #23,439",3.56 | pDev: 9.83%,3.56,9.83%,11,13,Active,"Jan 30, 2021"
Elvis AF,BrewDog,"Scotland, United Kingdom",Low-Alcohol BeerRanked #49,Low-Alcohol Beer,Ranked #49, 0.5%,"81Ranked #25,706",81,"Ranked #25,706",3.48 | pDev: 15.23%,3.48,15.23%,14,26,Active,"Dec 29, 2020"
Lodge Life,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #50,Low-Alcohol Beer,Ranked #50, 0.5%,"84Ranked #23,488",84,"Ranked #23,488",3.53 | pDev: 17.28%,3.53,17.28%,6,11,Active,"Jan 16, 2022"
Paradiso Citra IPA,Big Drop Brewing Co. Limited,"England, United Kingdom",Low-Alcohol BeerRanked #51,Low-Alcohol Beer,Ranked #51, 0.5%,"83Ranked #24,227",83,"Ranked #24,227",3.49 | pDev: 16.62%,3.49,16.62%,7,12,Active,"May 09, 2020"
Corona Non-Alcoholic,Grupo Modelo S.A. de C.V.,Mexico,Low-Alcohol BeerRanked #52,Low-Alcohol Beer,Ranked #52, 0.5%,"82Ranked #24,795",82,"Ranked #24,795",3.47 | pDev: 17.87%,3.47,17.87%,9,14,Active,"Mar 18, 2023"
White,Sober Carpenter,"Quebec, Canada",Low-Alcohol BeerRanked #53,Low-Alcohol Beer,Ranked #53, 0.5%,"83Ranked #24,027",83,"Ranked #24,027",3.49 | pDev: 13.18%,3.49,13.18%,7,11,Active,"Mar 07, 2020"
Intrepid Traveler Coffee Cream Stout,WellBeing Brewing,"Missouri, United States",Low-Alcohol BeerRanked #54,Low-Alcohol Beer,Ranked #54, 0.4%,"82Ranked #25,280",82,"Ranked #25,280",3.45 | pDev: 15.07%,3.45,15.07%,10,16,Active,"Mar 11, 2019"
IPA,Sober Carpenter,"Quebec, Canada",Low-Alcohol BeerRanked #55,Low-Alcohol Beer,Ranked #55, 0.5%,"82Ranked #25,281",82,"Ranked #25,281",3.45 | pDev: 15.94%,3.45,15.94%,13,17,Active,"Mar 07, 2020"
Wit's Peak,Athletic Brewing Co.,"Connecticut, United States",Low-Alcohol BeerRanked #56,Low-Alcohol Beer,Ranked #56, 0.5%,"82Ranked #25,150",82,"Ranked #25,150",3.45 | pDev: 9.57%,3.45,9.57%,7,15,Active,"May 28, 2021"
Krombacher Alkoholfrei,Krombacher Brauerei,Germany,Low-Alcohol BeerRanked #57,Low-Alcohol Beer,Ranked #57, 0.5%,"80Ranked #26,599",80,"Ranked #26,599",3.39 | pDev: 20.65%,3.39,20.65%,13,31,Active,"Mar 01, 2005"
Weizen-Radler Non-Alcoholic,Paulaner Brauerei,Germany,Low-Alcohol BeerRanked #58,Low-Alcohol Beer,Ranked #58, 0.5%,"80Ranked #26,519",80,"Ranked #26,519",3.37 | pDev: 19.88%,3.37,19.88%,11,24,Active,"Aug 07, 2015"
Weisse Alkoholfrei,Brauerei Gebrüder Maisel,Germany,Low-Alcohol BeerRanked #59,Low-Alcohol Beer,Ranked #59, 0.2%,"80Ranked #26,479",80,"Ranked #26,479",3.36 | pDev: 19.35%,3.36,19.35%,6,22,Active,"Jun 07, 2008"
Punk AF,BrewDog,"Scotland, United Kingdom",Low-Alcohol BeerRanked #60,Low-Alcohol Beer,Ranked #60, 0.5%,"78Ranked #27,193",78,"Ranked #27,193",3.33 | pDev: 15.32%,3.33,15.32%,30,48,Active,"Sep 30, 2019"
Victory Wheat,WellBeing Brewing,"Missouri, United States",Low-Alcohol BeerRanked #61,Low-Alcohol Beer,Ranked #61, 0.19%,"79Ranked #26,784",79,"Ranked #26,784",3.34 | pDev: 14.97%,3.34,14.97%,13,27,Active,"May 31, 2019"
Juicy Mavs Hazy IPA,Surreal Brewing Company,"California, United States",Low-Alcohol BeerRanked #62,Low-Alcohol Beer,Ranked #62, 0.5%,"80Ranked #26,561",80,"Ranked #26,561",3.34 | pDev: 20.66%,3.34,20.66%,13,21,Active,"Jul 27, 2019"
Galactic,Big Drop Brewing Co. Limited,"England, United Kingdom",Low-Alcohol BeerRanked #63,Low-Alcohol Beer,Ranked #63, 0.5%,"81Ranked #25,742",81,"Ranked #25,742",3.36 | pDev: 11.61%,3.36,11.61%,10,13,Active,"Sep 07, 2020"
Weihenstephaner Hefeweissbier Alkoholfrei,Bayerische Staatsbrauerei Weihenstephan,Germany,Low-Alcohol BeerRanked #64,Low-Alcohol Beer,Ranked #64, 0.5%,"77Ranked #27,442",77,"Ranked #27,442",3.3 | pDev: 18.79%,3.3,18.79%,24,67,Active,"Mar 01, 2005"
Oatmeal Dark,Bravus Brewing Company,"California, United States",Low-Alcohol BeerRanked #65,Low-Alcohol Beer,Ranked #65, 0.5%,"78Ranked #27,214",78,"Ranked #27,214",3.3 | pDev: 16.36%,3.3,16.36%,26,38,Active,"Apr 28, 2018"
Grüvi Stout,Grüvi,"Colorado, United States",Low-Alcohol BeerRanked #66,Low-Alcohol Beer,Ranked #66, 0.5%,"80Ranked #26,256",80,"Ranked #26,256",3.32 | pDev: 12.05%,3.32,12.05%,12,15,Active,"Nov 21, 2020"
Hazy AF,BrewDog,"Scotland, United Kingdom",Low-Alcohol BeerRanked #67,Low-Alcohol Beer,Ranked #67, 0.5%,"78Ranked #27,229",78,"Ranked #27,229",3.29 | pDev: 17.63%,3.29,17.63%,20,36,Active,"Feb 13, 2020"
