name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Budweiser Select 55,Anheuser-Busch,"Missouri, United States",Light LagerRanked #171,Light Lager,Ranked #171, 2.4%,"43Ranked #28,885",43,"Ranked #28,885",1.65 | pDev: 42.42%,1.65,42.42%,167,630,Active,"Sep 09, 2009"
Antarctica Pilsen,Antarctica (Companhia Brasileira De Bebidas),Brazil,American Adjunct LagerRanked #279,American Adjunct Lager,Ranked #279, 5%,"61Ranked #28,781",61,"Ranked #28,781",2.33 | pDev: 25.32%,2.33,25.32%,28,61,Active,"Jan 19, 2003"
Hite,Hite Brewery Company LTD,Korea (South),European Pale LagerRanked #396,European Pale Lager,Ranked #396, 4.5%,"61Ranked #28,780",61,"Ranked #28,780",2.51 | pDev: 25.9%,2.51,25.9%,141,319,Active,"Jun 02, 2002"
Champale Golden,Pabst Brewing Company,"Texas, United States",Malt LiquorRanked #45,Malt Liquor,Ranked #45, 5.4%,"61Ranked #28,779",61,"Ranked #28,779",2.02 | pDev: 43.07%,2.02,43.07%,11,25,Active,"Aug 06, 2007"
Lausitzer Porter,Bergquell Brauerei Löbau,Germany,SchwarzbierRanked #148,Schwarzbier,Ranked #148, 4.4%,"61Ranked #28,778",61,"Ranked #28,778",2.23 | pDev: 32.29%,2.23,32.29%,22,41,Active,"May 31, 2005"
Minhas Light,Minhas Craft Brewery,"Wisconsin, United States",Light LagerRanked #152,Light Lager,Ranked #152, 4%,"61Ranked #28,777",61,"Ranked #28,777",1.95 | pDev: 38.46%,1.95,38.46%,9,22,Active,"Sep 28, 2010"
Blatz Beer,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #254,American Adjunct Lager,Ranked #254, 4.9%,"61Ranked #28,776",61,"Ranked #28,776",2.51 | pDev: 31.47%,2.51,31.47%,96,259,Active,"Mar 11, 2002"
Molson XXX,Molson Coors Canada,"Ontario, Canada",Malt LiquorRanked #25,Malt Liquor,Ranked #25, 7.3%,"61Ranked #28,775",61,"Ranked #28,775",2.54 | pDev: 27.56%,2.54,27.56%,255,621,Active,"May 24, 2002"
Bud Light Lime Mang-o-Rita,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #28,Malt Liquor,Ranked #28, 8%,"61Ranked #28,774",61,"Ranked #28,774",2.5 | pDev: 32.8%,2.5,32.8%,42,207,Active,"Jan 18, 2014"
Old Milwaukee Light,Pabst Brewing Company,"Texas, United States",Light LagerRanked #130,Light Lager,Ranked #130, 3.88%,"61Ranked #28,773",61,"Ranked #28,773",2.51 | pDev: 35.06%,2.51,35.06%,73,241,Active,"Dec 12, 2001"
Foster's Lager,Foster's Group Limited,Australia,American Adjunct LagerRanked #247,American Adjunct Lager,Ranked #247, 5%,"61Ranked #28,772",61,"Ranked #28,772",2.56 | pDev: 25.78%,2.56,25.78%,731,"2,281",Active,"Jul 10, 2001"
Tecate Original,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,American Adjunct LagerRanked #246,American Adjunct Lager,Ranked #246, 4.5%,"61Ranked #28,771",61,"Ranked #28,771",2.56 | pDev: 26.17%,2.56,26.17%,643,"2,247",Active,"May 20, 2001"
Mickey's,Miller Brewing Co.,"Wisconsin, United States",Malt LiquorRanked #24,Malt Liquor,Ranked #24, 5.6%,"61Ranked #28,770",61,"Ranked #28,770",2.56 | pDev: 32.03%,2.56,32.03%,402,"1,420",Active,"Jul 03, 2001"
Kaliber,Guinness Ltd.,Ireland,Low-Alcohol BeerRanked #122,Low-Alcohol Beer,Ranked #122, 0.5%,"61Ranked #28,769",61,"Ranked #28,769",2.52 | pDev: 32.54%,2.52,32.54%,125,263,Active,"Aug 07, 2002"
Crazy Brewski Imperial Pils,Rinkuškiai,Lithuania,Imperial PilsnerRanked #27,Imperial Pilsner,Ranked #27, 15%,"61Ranked #28,768",61,"Ranked #28,768",2.44 | pDev: 33.2%,2.44,33.2%,33,100,Active,"Oct 26, 2013"
Kronenbourg,Brasseries Kronenbourg,France,European Pale LagerRanked #399,European Pale Lager,Ranked #399, 4.2%,"61Ranked #28,767",61,"Ranked #28,767",2.48 | pDev: 21.77%,2.48,21.77%,43,138,Active,"Aug 15, 2003"
Carling Black Label,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #251,American Adjunct Lager,Ranked #251, 5%,"61Ranked #28,766",61,"Ranked #28,766",2.52 | pDev: 31.35%,2.52,31.35%,81,229,Active,"Feb 17, 2003"
Pabst Blue Ribbon Light,Pabst Brewing Company,"Texas, United States",Light LagerRanked #132,Light Lager,Ranked #132, 4.19%,"61Ranked #28,765",61,"Ranked #28,765",2.48 | pDev: 31.85%,2.48,31.85%,54,135,Active,"Nov 29, 2001"
Boris Bold,Brasserie Licorne,France,European Strong LagerRanked #57,European Strong Lager,Ranked #57, 8.6%,"61Ranked #28,764",61,"Ranked #28,764",2.2 | pDev: 30.45%,2.2,30.45%,21,34,Active,"Jun 10, 2005"
Pure Blonde,"Carlton & United Breweries, Ltd.",Australia,Light LagerRanked #139,Light Lager,Ranked #139, 4.6%,"61Ranked #28,763",61,"Ranked #28,763",2.38 | pDev: 25.21%,2.38,25.21%,22,63,Active,"Oct 09, 2004"
Golden Eagle Beer,Mohan Breweries & Distilleries Ltd,India,American Adjunct LagerRanked #276,American Adjunct Lager,Ranked #276, 4.8%,"61Ranked #28,762",61,"Ranked #28,762",2.33 | pDev: 30.9%,2.33,30.9%,33,50,Active,"Jul 12, 2002"
Iron City Beer,Pittsburgh Brewing Co.,"Pennsylvania, United States",American Adjunct LagerRanked #242,American Adjunct Lager,Ranked #242, 4.7%,"61Ranked #28,761",61,"Ranked #28,761",2.57 | pDev: 28.02%,2.57,28.02%,297,600,Active,"Feb 01, 2002"
Molson Canadian Light,Molson Coors Canada,"Ontario, Canada",Light LagerRanked #128,Light Lager,Ranked #128, 4%,"61Ranked #28,760",61,"Ranked #28,760",2.51 | pDev: 25.9%,2.51,25.9%,48,156,Active,"Aug 19, 2002"
Molson Canadian Ice,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #263,American Adjunct Lager,Ranked #263, 5.5%,"61Ranked #28,759",61,"Ranked #28,759",2.44 | pDev: 27.87%,2.44,27.87%,15,83,Active,"Aug 23, 2003"
Schaefer Light,F & M Schaefer Brewing Co.,"Wisconsin, United States",Light LagerRanked #137,Light Lager,Ranked #137,Not listed,"62Ranked #28,758",62,"Ranked #28,758",2.38 | pDev: 33.19%,2.38,33.19%,32,58,Active,"Aug 08, 2002"
Lone Star Beer,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #238,American Adjunct Lager,Ranked #238, 4.65%,"62Ranked #28,757",62,"Ranked #28,757",2.59 | pDev: 28.57%,2.59,28.57%,283,949,Active,"Oct 19, 2001"
Light Beer,Kirkland Signature / Costco Wholesale Corporation,"Washington, United States",Light LagerRanked #129,Light Lager,Ranked #129, 4.2%,"62Ranked #28,756",62,"Ranked #28,756",2.5 | pDev: 36.8%,2.5,36.8%,43,124,Active,"Sep 21, 2014"
Taiwan Beer,Taiwan Tobacco & Liquor Corporation,Taiwan,Japanese Rice LagerRanked #39,Japanese Rice Lager,Ranked #39, 4.5%,"62Ranked #28,755",62,"Ranked #28,755",2.52 | pDev: 25.79%,2.52,25.79%,59,152,Active,"Feb 26, 2003"
Red Stripe Light,Desnoes & Geddes Limited,Jamaica,Light LagerRanked #126,Light Lager,Ranked #126, 3.6%,"62Ranked #28,754",62,"Ranked #28,754",2.53 | pDev: 24.51%,2.53,24.51%,54,167,Active,"May 23, 2004"
I.C. Light,Pittsburgh Brewing Co.,"Pennsylvania, United States",Light LagerRanked #124,Light Lager,Ranked #124, 4.15%,"62Ranked #28,753",62,"Ranked #28,753",2.56 | pDev: 30.47%,2.56,30.47%,101,263,Active,"Sep 30, 2001"
XXXX Gold,Castlemaine Perkins,Australia,American Adjunct LagerRanked #257,American Adjunct Lager,Ranked #257, 3.5%,"62Ranked #28,752",62,"Ranked #28,752",2.48 | pDev: 29.84%,2.48,29.84%,34,99,Active,"Sep 16, 2002"
San Mig Light,San Miguel Brewery Inc.,Philippines,Light LagerRanked #127,Light Lager,Ranked #127, 5%,"62Ranked #28,751",62,"Ranked #28,751",2.51 | pDev: 26.29%,2.51,26.29%,48,126,Active,"Mar 12, 2004"
Castle Lager,South African Breweries plc,South Africa,American Adjunct LagerRanked #248,American Adjunct Lager,Ranked #248, 5%,"62Ranked #28,750",62,"Ranked #28,750",2.54 | pDev: 24.02%,2.54,24.02%,102,170,Active,"Jan 07, 2002"
New,Tooheys Brewing,Australia,American Adjunct LagerRanked #244,American Adjunct Lager,Ranked #244, 4.6%,"62Ranked #28,749",62,"Ranked #28,749",2.55 | pDev: 26.27%,2.55,26.27%,107,186,Active,"Jun 04, 2002"
Schmidt,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #243,American Adjunct Lager,Ranked #243, 4.4%,"62Ranked #28,748",62,"Ranked #28,748",2.55 | pDev: 30.59%,2.55,30.59%,75,186,Active,"Apr 23, 2002"
Tsingtao Pure Draft,"Tsingtao Brewery Co., Ltd.",China,American Adjunct LagerRanked #255,American Adjunct Lager,Ranked #255, 4.8%,"62Ranked #28,747",62,"Ranked #28,747",2.48 | pDev: 28.23%,2.48,28.23%,46,90,Active,"Apr 10, 2006"
Rolling Rock Extra Pale,Latrobe Brewing Co.,"Missouri, United States",American Adjunct LagerRanked #231,American Adjunct Lager,Ranked #231, 4.4%,"62Ranked #28,746",62,"Ranked #28,746",2.62 | pDev: 27.86%,2.62,27.86%,974,"3,244",Active,"Mar 02, 2001"
Labatt Max Ice,Labatt Brewing Company Ltd.,"Ontario, Canada",Malt LiquorRanked #26,Malt Liquor,Ranked #26, 8%,"62Ranked #28,745",62,"Ranked #28,745",2.51 | pDev: 29.88%,2.51,29.88%,61,110,Active,"Nov 13, 2002"
Kokanee,Columbia Brewery,"British Columbia, Canada",American Adjunct LagerRanked #240,American Adjunct Lager,Ranked #240, 5%,"62Ranked #28,744",62,"Ranked #28,744",2.57 | pDev: 24.9%,2.57,24.9%,109,229,Active,"Apr 25, 2002"
Genesee Ice Beer,Genesee Brewing Co. / Dundee Brewing Co.,"New York, United States",American Adjunct LagerRanked #239,American Adjunct Lager,Ranked #239, 5.5%,"62Ranked #28,743",62,"Ranked #28,743",2.57 | pDev: 26.46%,2.57,26.46%,131,218,Active,"Apr 04, 2002"
Coors Extra Gold,Coors Brewing Company (Molson-Coors),"Colorado, United States",American Adjunct LagerRanked #237,American Adjunct Lager,Ranked #237, 5%,"62Ranked #28,742",62,"Ranked #28,742",2.59 | pDev: 32.05%,2.59,32.05%,112,329,Active,"Sep 06, 2001"
Camo Black Extra,Camo Brewing Company,"Nevada, United States",Malt LiquorRanked #36,Malt Liquor,Ranked #36, 12.2%,"62Ranked #28,741",62,"Ranked #28,741",2.28 | pDev: 55.26%,2.28,55.26%,21,36,Active,"Apr 30, 2010"
The Legendary Duff Beer,DUFF Sales & Marketing E.K.,Germany,German PilsnerRanked #660,German Pilsner,Ranked #660, 4.9%,"62Ranked #28,740",62,"Ranked #28,740",2.44 | pDev: 23.77%,2.44,23.77%,24,66,Active,"Jul 24, 2009"
Redbridge,Anheuser-Busch,"Missouri, United States",American Amber / Red LagerRanked #92,American Amber / Red Lager,Ranked #92, 4%,"62Ranked #28,739",62,"Ranked #28,739",2.61 | pDev: 27.97%,2.61,27.97%,238,557,Active,"Dec 10, 2006"
Palma Louca Pale Pilsner,Cervejaria Kaiser,Brazil,German PilsnerRanked #659,German Pilsner,Ranked #659, 4.5%,"62Ranked #28,738",62,"Ranked #28,738",2.59 | pDev: 21.62%,2.59,21.62%,131,279,Active,"Jul 12, 2003"
Yanjing Beer,Beijing Yanjing Beer Group Corporation,China,European Pale LagerRanked #388,European Pale Lager,Ranked #388, 4.7%,"62Ranked #28,737",62,"Ranked #28,737",2.59 | pDev: 22.78%,2.59,22.78%,145,261,Active,"Nov 20, 2001"
Beck's Non-Alcoholic,Brauerei Beck & Co.,Germany,Low-Alcohol BeerRanked #120,Low-Alcohol Beer,Ranked #120, 0.5%,"62Ranked #28,736",62,"Ranked #28,736",2.55 | pDev: 34.51%,2.55,34.51%,74,141,Active,"Jun 29, 2003"
Bavaria 8.6 Original,Swinkels Family Brewers,Netherlands,European Strong LagerRanked #47,European Strong Lager,Ranked #47, 7.9%,"62Ranked #28,735",62,"Ranked #28,735",2.57 | pDev: 27.24%,2.57,27.24%,67,167,Active,"Dec 29, 2001"
Landshark Lager,Margaritaville Brewing Co.,"Florida, United States",American Adjunct LagerRanked #223,American Adjunct Lager,Ranked #223, 4.6%,"63Ranked #28,734",63,"Ranked #28,734",2.65 | pDev: 26.79%,2.65,26.79%,564,"2,080",Active,"Jan 17, 2007"
Alexander Keith's India Pale Ale,Alexander Keith's,"Nova Scotia, Canada",American Blonde AleRanked #383,American Blonde Ale,Ranked #383, 5%,"63Ranked #28,733",63,"Ranked #28,733",2.64 | pDev: 28.41%,2.64,28.41%,302,707,Active,"Apr 16, 1998"
Mountain Crest Classic Lager Beer,Minhas Craft Brewery,"Wisconsin, United States",American Adjunct LagerRanked #264,American Adjunct Lager,Ranked #264, 5.5%,"63Ranked #28,732",63,"Ranked #28,732",2.4 | pDev: 30.42%,2.4,30.42%,23,48,Active,"Sep 26, 2010"
Labatt Blue Light Lime,Labatt Brewing Company Ltd.,"Ontario, Canada",Light LagerRanked #121,Light Lager,Ranked #121, 4%,"63Ranked #28,731",63,"Ranked #28,731",2.55 | pDev: 28.63%,2.55,28.63%,35,114,Active,"Apr 08, 2010"
Stroh's,Pabst Brewing Company,"Texas, United States",American Adjunct LagerRanked #227,American Adjunct Lager,Ranked #227, 4.5%,"63Ranked #28,730",63,"Ranked #28,730",2.64 | pDev: 28.79%,2.64,28.79%,230,665,Active,"Aug 25, 2001"
Michelob Golden Draft,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #236,American Adjunct Lager,Ranked #236, 4.7%,"63Ranked #28,729",63,"Ranked #28,729",2.58 | pDev: 31.4%,2.58,31.4%,43,150,Active,"Apr 22, 2002"
Amnesia IPA,Indian Wells Brewing Company,"California, United States","American IPARanked #3,563",American IPA,"Ranked #3,563", 7.2%,"63Ranked #28,728",63,"Ranked #28,728",2.55 | pDev: 27.84%,2.55,27.84%,61,109,Active,"Aug 07, 2008"
Coors Banquet,Coors Brewing Company (Molson-Coors),"Colorado, United States",American Adjunct LagerRanked #221,American Adjunct Lager,Ranked #221, 5%,"63Ranked #28,727",63,"Ranked #28,727",2.66 | pDev: 29.32%,2.66,29.32%,906,"3,405",Active,"Aug 18, 2001"
Old Milwaukee Non Alcoholic,Pabst Brewing Company,"Texas, United States",Low-Alcohol BeerRanked #121,Low-Alcohol Beer,Ranked #121, 0.4%,"63Ranked #28,726",63,"Ranked #28,726",2.48 | pDev: 32.66%,2.48,32.66%,50,67,Active,"Aug 27, 2002"
Amstel Lager,Amstel Brouwerij B. V.,Netherlands,European Pale LagerRanked #381,European Pale Lager,Ranked #381, 5%,"63Ranked #28,725",63,"Ranked #28,725",2.64 | pDev: 23.86%,2.64,23.86%,84,427,Active,"Oct 19, 2001"
Hahn Premium Light,Hahn Brewing Co. Pty. Ltd.,Australia,Light LagerRanked #141,Light Lager,Ranked #141, 2.7%,"63Ranked #28,724",63,"Ranked #28,724",2.31 | pDev: 31.6%,2.31,31.6%,16,34,Active,"Apr 09, 2002"
Buckler Non-Alcoholic Brew,Heineken Nederland B.V.,Netherlands,Low-Alcohol BeerRanked #118,Low-Alcohol Beer,Ranked #118, 0.5%,"63Ranked #28,723",63,"Ranked #28,723",2.6 | pDev: 28.85%,2.6,28.85%,94,173,Active,"Aug 23, 2002"
Skol Beer,Turk Tuborg Brewing and Malting,Turkey,European Pale LagerRanked #398,European Pale Lager,Ranked #398, 4.8%,"63Ranked #28,722",63,"Ranked #28,722",2.4 | pDev: 22.92%,2.4,22.92%,23,45,Active,"Jan 13, 2007"
Melbourne Bitter,"Carlton & United Breweries, Ltd.",Australia,American Adjunct LagerRanked #256,American Adjunct Lager,Ranked #256, 4.6%,"63Ranked #28,721",63,"Ranked #28,721",2.45 | pDev: 36.33%,2.45,36.33%,28,55,Active,"Jun 04, 2002"
Brahma Chopp,Companhia Cervejaria Brahma,Brazil,American Adjunct LagerRanked #241,American Adjunct Lager,Ranked #241, 5%,"63Ranked #28,720",63,"Ranked #28,720",2.55 | pDev: 23.14%,2.55,23.14%,39,99,Active,"Apr 22, 2003"
Presidente Light,Cervecería Nacional Dominicana,Dominican Republic,Light LagerRanked #114,Light Lager,Ranked #114, 4.2%,"63Ranked #28,719",63,"Ranked #28,719",2.59 | pDev: 26.25%,2.59,26.25%,34,141,Active,"Sep 06, 2005"
Bière Du Démon,Brassierie Goulant,France,European Strong LagerRanked #48,European Strong Lager,Ranked #48, 12%,"63Ranked #28,718",63,"Ranked #28,718",2.55 | pDev: 32.16%,2.55,32.16%,41,95,Active,"Jan 11, 2002"
Schaefer,F & M Schaefer Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #224,American Adjunct Lager,Ranked #224, 4.6%,"63Ranked #28,717",63,"Ranked #28,717",2.64 | pDev: 28.41%,2.64,28.41%,145,298,Active,"Aug 21, 2001"
Natty Daddy (6%),Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #298,American Adjunct Lager,Ranked #298, 6%,"63Ranked #28,716",63,"Ranked #28,716",1.67 | pDev: 35.33%,1.67,35.33%,5,12,Active,"Jun 29, 2015"
Kalik,Commonwealth Brewery Ltd.,Bahamas,American Adjunct LagerRanked #222,American Adjunct Lager,Ranked #222, 5%,"63Ranked #28,715",63,"Ranked #28,715",2.65 | pDev: 23.4%,2.65,23.4%,139,370,Active,"Mar 18, 2002"
Flathead Cherry Ale,Glacier Brewing Company,"Montana, United States",Fruit and Field BeerRanked #421,Fruit and Field Beer,Ranked #421, 5.5%,"63Ranked #28,714",63,"Ranked #28,714",2.08 | pDev: 37.98%,2.08,37.98%,9,20,Active,"Oct 12, 2011"
333 Premium Export Beer,Saigon Beer Company,Vietnam,American Adjunct LagerRanked #245,American Adjunct Lager,Ranked #245, 5.3%,"63Ranked #28,713",63,"Ranked #28,713",2.52 | pDev: 23.41%,2.52,23.41%,28,73,Active,"Sep 29, 2006"
Hahn Super Dry,Hahn Brewing Co. Pty. Ltd.,Australia,American Adjunct LagerRanked #253,American Adjunct Lager,Ranked #253, 4.6%,"63Ranked #28,712",63,"Ranked #28,712",2.45 | pDev: 28.16%,2.45,28.16%,19,51,Active,"Oct 04, 2006"
Old Style Light,Pabst Brewing Company,"Texas, United States",Light LagerRanked #120,Light Lager,Ranked #120, 4.12%,"63Ranked #28,711",63,"Ranked #28,711",2.54 | pDev: 24.02%,2.54,24.02%,38,82,Active,"Aug 26, 2002"
Boxer Ice,Minhas Craft Brewery,"Wisconsin, United States",American Adjunct LagerRanked #267,American Adjunct Lager,Ranked #267, 5.5%,"63Ranked #28,710",63,"Ranked #28,710",2.37 | pDev: 37.13%,2.37,37.13%,23,38,Active,"Feb 12, 2011"
Royal Challenge Indian Premium Lager,Shaw Wallace & Company Ltd.,India,American Adjunct LagerRanked #266,American Adjunct Lager,Ranked #266, 5%,"63Ranked #28,709",63,"Ranked #28,709",2.37 | pDev: 30.8%,2.37,30.8%,27,38,Active,"May 11, 2003"
Sapporo Light Beer,Sapporo Breweries Ltd.,Japan,Light LagerRanked #119,Light Lager,Ranked #119, 3.9%,"63Ranked #28,708",63,"Ranked #28,708",2.56 | pDev: 24.61%,2.56,24.61%,34,93,Active,"Jul 28, 2005"
San Miguel Especial,San Miguel Fabricas De Cervaza Y Maltas S.A.,Spain,European Pale LagerRanked #378,European Pale Lager,Ranked #378, 5.4%,"63Ranked #28,707",63,"Ranked #28,707",2.63 | pDev: 21.29%,2.63,21.29%,56,197,Active,"Nov 22, 2005"
Carling Lager,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #259,American Adjunct Lager,Ranked #259, 4.9%,"63Ranked #28,706",63,"Ranked #28,706",2.43 | pDev: 30.45%,2.43,30.45%,6,46,Active,"Mar 05, 2013"
Labatt Blue,Labatt Brewing Company Ltd.,"Ontario, Canada",American Adjunct LagerRanked #212,American Adjunct Lager,Ranked #212, 5%,"63Ranked #28,705",63,"Ranked #28,705",2.69 | pDev: 24.54%,2.69,24.54%,738,"2,316",Active,"Aug 30, 2001"
Old Monk 10000,Mohan Breweries & Distilleries Ltd,India,Malt LiquorRanked #22,Malt Liquor,Ranked #22, 8%,"63Ranked #28,704",63,"Ranked #28,704",2.57 | pDev: 31.91%,2.57,31.91%,51,93,Active,"May 29, 2006"
Pink Killer,Brasserie de Silly S.A.,Belgium,Fruit and Field BeerRanked #417,Fruit and Field Beer,Ranked #417, 5%,"63Ranked #28,703",63,"Ranked #28,703",2.61 | pDev: 32.57%,2.61,32.57%,67,134,Active,"Dec 11, 2004"
Maclay's Traditional Pale Ale,Sleeman Breweries Ltd.,"Ontario, Canada",English Pale AleRanked #200,English Pale Ale,Ranked #200, 5%,"64Ranked #28,702",64,"Ranked #28,702",2.53 | pDev: 26.09%,2.53,26.09%,38,70,Active,"Aug 04, 2005"
Green's Discovery Amber Ale,Green's Gluten Free Beers,"England, United Kingdom",Extra Special / Strong Bitter (ESB)Ranked #127,Extra Special / Strong Bitter (ESB),Ranked #127, 6%,"64Ranked #28,701",64,"Ranked #28,701",2.52 | pDev: 26.98%,2.52,26.98%,53,66,Active,"Dec 19, 2005"
Gallo Draft,"Cervecería Centro Americana, S.A.",Guatemala,Light LagerRanked #140,Light Lager,Ranked #140, 4.4%,"64Ranked #28,700",64,"Ranked #28,700",2.29 | pDev: 34.93%,2.29,34.93%,6,29,Active,"Oct 01, 2005"
Yanjing 11º Premium,Beijing Yanjing Beer Group Corporation,China,American Adjunct LagerRanked #277,American Adjunct Lager,Ranked #277, 4.5%,"64Ranked #28,699",64,"Ranked #28,699",2.23 | pDev: 25.11%,2.23,25.11%,13,25,Active,"Oct 10, 2006"
Red Horse Beer: Extra Strong,San Miguel Brewery Inc.,Philippines,Malt LiquorRanked #17,Malt Liquor,Ranked #17, 6.9%,"64Ranked #28,698",64,"Ranked #28,698",2.62 | pDev: 27.1%,2.62,27.1%,87,139,Active,"May 25, 2005"
Cisk XS Extra Lager,Simonds Farsons Cisk Plc.,Malta,European Strong LagerRanked #56,European Strong Lager,Ranked #56, 9%,"64Ranked #28,697",64,"Ranked #28,697",2.14 | pDev: 34.11%,2.14,34.11%,17,21,Active,"Aug 17, 2008"
Labatt Ice,Labatt Brewing Company Ltd.,"Ontario, Canada",American Adjunct LagerRanked #219,American Adjunct Lager,Ranked #219, 5.6%,"64Ranked #28,696",64,"Ranked #28,696",2.66 | pDev: 27.44%,2.66,27.44%,89,252,Active,"Aug 30, 2001"
Genesee Beer,Genesee Brewing Co. / Dundee Brewing Co.,"New York, United States",American Adjunct LagerRanked #210,American Adjunct Lager,Ranked #210, 4.5%,"64Ranked #28,695",64,"Ranked #28,695",2.69 | pDev: 27.88%,2.69,27.88%,270,692,Active,"Sep 17, 2001"
Taj Mahal Premium Lager,United Breweries - UB Group,India,American Adjunct LagerRanked #208,American Adjunct Lager,Ranked #208, 4.5%,"64Ranked #28,694",64,"Ranked #28,694",2.69 | pDev: 23.79%,2.69,23.79%,246,582,Active,"Mar 08, 2002"
Hell On High Quad Bock,Rinkuškiai,Lithuania,DoppelbockRanked #136,Doppelbock,Ranked #136, 14%,"64Ranked #28,693",64,"Ranked #28,693",2.57 | pDev: 31.13%,2.57,31.13%,27,84,Active,"Oct 26, 2013"
Crazy Stallion,"City Brewing Company, LLC","Wisconsin, United States",Malt LiquorRanked #23,Malt Liquor,Ranked #23, 5.9%,"64Ranked #28,692",64,"Ranked #28,692",2.57 | pDev: 29.57%,2.57,29.57%,54,84,Active,"Nov 14, 2002"
Quilmes,Cervecería y Maltería Quilmes / Grupo Bemberg,Argentina,European Pale LagerRanked #371,European Pale Lager,Ranked #371, 4.9%,"64Ranked #28,691",64,"Ranked #28,691",2.69 | pDev: 23.42%,2.69,23.42%,256,548,Active,"Aug 11, 2002"
Lucky Buddha Enlightened Beer,The Lucky Drink Company,Australia,Japanese Rice LagerRanked #38,Japanese Rice Lager,Ranked #38, 4.8%,"64Ranked #28,690",64,"Ranked #28,690",2.7 | pDev: 25.19%,2.7,25.19%,236,787,Active,"Apr 06, 2007"
Cobra,United Breweries - UB Group,India,American Adjunct LagerRanked #235,American Adjunct Lager,Ranked #235, 5%,"64Ranked #28,689",64,"Ranked #28,689",2.56 | pDev: 23.44%,2.56,23.44%,32,76,Active,"Jan 20, 2006"
Schlitz O.M.L. (Malt Liquor),Pabst Brewing Company,"Texas, United States",Malt LiquorRanked #13,Malt Liquor,Ranked #13, 5.9%,"64Ranked #28,688",64,"Ranked #28,688",2.66 | pDev: 31.58%,2.66,31.58%,111,211,Active,"Mar 27, 2002"
XXXX Bitter,Castlemaine Perkins,Australia,American Adjunct LagerRanked #234,American Adjunct Lager,Ranked #234, 4.4%,"64Ranked #28,687",64,"Ranked #28,687",2.56 | pDev: 30.86%,2.56,30.86%,30,75,Active,"Apr 08, 2002"
I.C. Light Mango,Pittsburgh Brewing Co.,"Pennsylvania, United States",Light LagerRanked #117,Light Lager,Ranked #117, 3.8%,"64Ranked #28,686",64,"Ranked #28,686",2.56 | pDev: 35.55%,2.56,35.55%,27,74,Active,"Jul 02, 2011"
Burleigh Bighead,Burleigh Brewing Co.,Australia,Light LagerRanked #143,Light Lager,Ranked #143, 4.2%,"64Ranked #28,685",64,"Ranked #28,685",2.23 | pDev: 39.46%,2.23,39.46%,8,24,Active,"Nov 04, 2010"
Boris (Le Flacon D'Alsace),Brasserie Licorne,France,European Pale LagerRanked #383,European Pale Lager,Ranked #383, 5.5%,"64Ranked #28,684",64,"Ranked #28,684",2.59 | pDev: 22.78%,2.59,22.78%,69,90,Active,"Jan 29, 2004"
Boatswain Double IPA (Twin Screw Steamer),Minhas Craft Brewery,"Wisconsin, United States","Imperial IPARanked #2,166",Imperial IPA,"Ranked #2,166", 8.4%,"64Ranked #28,683",64,"Ranked #28,683",2.7 | pDev: 28.15%,2.7,28.15%,201,554,Active,"Nov 20, 2011"
Boatswain American IPA,Minhas Craft Brewery,"Wisconsin, United States","American IPARanked #3,562",American IPA,"Ranked #3,562", 6.7%,"64Ranked #28,682",64,"Ranked #28,682",2.69 | pDev: 27.88%,2.69,27.88%,122,359,Active,"Dec 17, 2011"
Tsingtao Beer – Icy Smooth,"Taiwan Tsing Beer Co., Ltd.",Taiwan,American Adjunct LagerRanked #283,American Adjunct Lager,Ranked #283, 4.5%,"64Ranked #28,681",64,"Ranked #28,681",2.14 | pDev: 31.78%,2.14,31.78%,1,20,Active,"Jan 31, 2012"
Grolsch Krachtig Kanon,Grolsch Bierbrouwerij N.V.,Netherlands,European Strong LagerRanked #46,European Strong Lager,Ranked #46, 11.6%,"64Ranked #28,680",64,"Ranked #28,680",2.55 | pDev: 29.02%,2.55,29.02%,26,66,Active,"Oct 11, 2003"
Becks's Vier,Brauerei Beck & Co.,Germany,European Pale LagerRanked #391,European Pale Lager,Ranked #391, 4%,"64Ranked #28,679",64,"Ranked #28,679",2.42 | pDev: 21.9%,2.42,21.9%,14,38,Active,"Oct 06, 2006"
Imperial Jack,Rhinelander Brewing Company,"Wisconsin, United States","Imperial IPARanked #2,165",Imperial IPA,"Ranked #2,165", 8.5%,"64Ranked #28,678",64,"Ranked #28,678",2.67 | pDev: 28.09%,2.67,28.09%,70,202,Active,"Sep 27, 2011"
