name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Pour Le Mineur,Corridor Brewery & Provisions,"Illinois, United States",Grisette,Grisette,Na, 4%,Needs more ratings,Na,Na,3.62 | pDev: 9.12%,3.62,9.12%,0,5,Active,"Jul 22, 2017"
Grisette (Huell Melon),The Kernel Brewery,"England, United Kingdom",Grisette,Grisette,Na, 4.6%,Needs more ratings,Na,Na,3.78 | pDev: 17.99%,3.78,17.99%,3,5,Active,"Oct 02, 2022"
Grisette,Tighthead Brewing Company,"Illinois, United States",Grisette,Grisette,Na, 5.4%,Needs more ratings,Na,Na,3.99 | pDev: 6.02%,3.99,6.02%,1,5,Active,"Jun 14, 2014"
Stereo > Mono,Proclamation Ale Company,"Rhode Island, United States",Grisette,Grisette,Na, 5.6%,Needs more ratings,Na,Na,4.11 | pDev: 3.41%,4.11,3.41%,1,5,Active,"Jun 03, 2019"
The Lion and Other Beasts,Mad Fritz,"California, United States",Grisette,Grisette,Na, 5%,Needs more ratings,Na,Na,4.03 | pDev: 14.64%,4.03,14.64%,3,5,Active,"Jan 29, 2018"
Whitfield Road,Arrowood Farms,"New York, United States",Grisette,Grisette,Na, 4.6%,Needs more ratings,Na,Na,4.11 | pDev: 2.92%,4.11,2.92%,2,5,Active,"Jun 22, 2020"
Grisaille,Field & Oak,"New Jersey, United States",Grisette,Grisette,Na, 6.1%,Needs more ratings,Na,Na,4.25 | pDev: 0.47%,4.25,0.47%,1,5,Active,"Nov 21, 2021"
Grisette,Waypost Brewing,"Michigan, United States",Grisette,Grisette,Na, 4%,Needs more ratings,Na,Na,3.87 | pDev: 4.65%,3.87,4.65%,3,5,Active,"Aug 05, 2021"
Blueberry Grisette,Jester King Brewery,"Texas, United States",Grisette,Grisette,Na, 5.7%,Needs more ratings,Na,Na,3.92 | pDev: 2.81%,3.92,2.81%,2,5,Active,"Mar 19, 2022"
Mono > Stereo,Proclamation Ale Company,"Rhode Island, United States",Grisette,Grisette,Na, 4.2%,Needs more ratings,Na,Na,4.19 | pDev: 5.73%,4.19,5.73%,3,5,Active,"Jul 28, 2021"
Grisette,Steam Bell Beer Works,"Virginia, United States",Grisette,Grisette,Na, 5.4%,Needs more ratings,Na,Na,3.93 | pDev: 8.14%,3.93,8.14%,2,5,Active,"May 20, 2016"
Squarer Of Circles,Epochal,"Scotland, United Kingdom",Grisette,Grisette,Na, 3.6%,Needs more ratings,Na,Na,3.98 | pDev: 9.3%,3.98,9.3%,2,4,Active,"Feb 07, 2023"
Grisette du Midi,Microbrasserie Les Grands Bois,"Quebec, Canada",Grisette,Grisette,Na, 3.2%,Needs more ratings,Na,Na,3.67 | pDev: 7.08%,3.67,7.08%,2,4,Active,"Oct 10, 2017"
Grizzled Canary: Grisette,Cinderlands Beer Co.,"Pennsylvania, United States",Grisette,Grisette,Na, 4%,Needs more ratings,Na,Na,4.01 | pDev: 1.75%,4.01,1.75%,3,4,Active,"Jul 24, 2018"
Le Lapin Grisette,Bonn Place Brewing Co.,"Pennsylvania, United States",Grisette,Grisette,Na,Not listed,Needs more ratings,Na,Na,3.91 | pDev: 2.56%,3.91,2.56%,0,4,Active,"Sep 23, 2016"
Grisette #1,Brasserie Auval,"Quebec, Canada",Grisette,Grisette,Na, 4.5%,Needs more ratings,Na,Na,3.76 | pDev: 3.72%,3.76,3.72%,2,4,Active,"Nov 18, 2015"
Remix Grisette,Counter Weight Brewing Company,"Connecticut, United States",Grisette,Grisette,Na, 4.3%,Needs more ratings,Na,Na,3.77 | pDev: 5.31%,3.77,5.31%,1,4,Active,"Jun 26, 2019"
Each a Little Token,Sante Adairius Rustic Ales,"California, United States",Grisette,Grisette,Na, 5.2%,Needs more ratings,Na,Na,4.34 | pDev: 2.53%,4.34,2.53%,0,4,Active,"Jan 24, 2022"
Even Tides,Grimm Artisanal Ales,"New York, United States",Grisette,Grisette,Na, 4.2%,Needs more ratings,Na,Na,4.02 | pDev: 7.71%,4.02,7.71%,1,4,Active,"Apr 23, 2022"
At A Distance,Pipeworks Brewing Company,"Illinois, United States",Grisette,Grisette,Na, 4.6%,Needs more ratings,Na,Na,3.65 | pDev: 4.93%,3.65,4.93%,2,4,Active,"Oct 30, 2020"
Grisette,WeldWerks Brewing Co.,"Colorado, United States",Grisette,Grisette,Na, 4.1%,Needs more ratings,Na,Na,3.87 | pDev: 6.98%,3.87,6.98%,2,4,Active,"Jan 26, 2018"
Blonde Grisette,Schilling Beer Co.,"New Hampshire, United States",Grisette,Grisette,Na, 5.2%,Needs more ratings,Na,Na,3.95 | pDev: 4.81%,3.95,4.81%,0,4,Active,"Jul 26, 2014"
Grisette,Jack's Abby Brewing,"Massachusetts, United States",Grisette,Grisette,Na, 4.7%,Needs more ratings,Na,Na,3.48 | pDev: 27.87%,3.48,27.87%,1,4,Active,"Dec 15, 2016"
Smithwick's Imported Premium Irish Ale,Guinness Ltd.,Ireland,Irish Red AleRanked #99,Irish Red Ale,Ranked #99, 4.5%,"79Ranked #26,931",79,"Ranked #26,931",3.47 | pDev: 14.99%,3.47,14.99%,923,"3,209",Active,"Apr 01, 2006"
Samuel Adams Irish Red,Boston Beer Company (Samuel Adams),"Massachusetts, United States",Irish Red AleRanked #101,Irish Red Ale,Ranked #101, 5.8%,"79Ranked #27,003",79,"Ranked #27,003",3.46 | pDev: 14.74%,3.46,14.74%,"1,019","2,571",Active,"Aug 24, 2007"
Conway's Irish Ale,Great Lakes Brewing Co.,"Ohio, United States",Irish Red AleRanked #11,Irish Red Ale,Ranked #11, 6.3%,"86Ranked #20,320",86,"Ranked #20,320",3.8 | pDev: 11.32%,3.8,11.32%,567,"1,687",Active,"Jul 28, 2002"
Return of the Ancients,3 Floyds Brewing Co.,"Indiana, United States",Irish Red AleRanked #2,Irish Red Ale,Ranked #2, 6.5%,"90Ranked #9,287",90,"Ranked #9,287",4.03 | pDev: 11.41%,4.03,11.41%,497,"1,067",Active,"Mar 14, 2004"
Newcastle Werewolf,Heineken Nederland B.V.,Netherlands,Irish Red AleRanked #111,Irish Red Ale,Ranked #111, 4.5%,"73Ranked #28,027",73,"Ranked #28,027",3.18 | pDev: 19.5%,3.18,19.5%,190,991,Active,"Jul 17, 2011"
Kilkenny,Guinness Ltd.,Ireland,Irish Red AleRanked #102,Irish Red Ale,Ranked #102, 4.3%,"79Ranked #27,037",79,"Ranked #27,037",3.45 | pDev: 16.52%,3.45,16.52%,190,809,Active,"Aug 23, 2009"
Smithwick's Ale,Smithwick's Brewery / Irish Ale Breweries Ltd,Ireland,Irish Red AleRanked #105,Irish Red Ale,Ranked #105, 3.8%,"77Ranked #27,399",77,"Ranked #27,399",3.38 | pDev: 15.98%,3.38,15.98%,332,790,Active,"Apr 16, 2002"
Murphy's Irish Red,Murphy Brewery Ireland Limited,Ireland,Irish Red AleRanked #110,Irish Red Ale,Ranked #110, 5%,"74Ranked #27,919",74,"Ranked #27,919",3.22 | pDev: 16.46%,3.22,16.46%,331,705,Active,"Jul 08, 2001"
Irish Ale,Boulevard Brewing Co.,"Missouri, United States",Irish Red AleRanked #53,Irish Red Ale,Ranked #53, 5.8%,"83Ranked #24,234",83,"Ranked #24,234",3.67 | pDev: 11.99%,3.67,11.99%,268,662,Active,"Jun 02, 2002"
Red Trolley Ale,Karl Strauss Brewing Company,"California, United States",Irish Red AleRanked #88,Irish Red Ale,Ranked #88, 5.8%,"81Ranked #26,071",81,"Ranked #26,071",3.56 | pDev: 14.61%,3.56,14.61%,159,642,Active,"Jan 16, 2003"
O'Hara's Irish Red,Carlow Brewing Company,Ireland,Irish Red AleRanked #87,Irish Red Ale,Ranked #87, 4.3%,"81Ranked #26,067",81,"Ranked #26,067",3.56 | pDev: 13.76%,3.56,13.76%,241,545,Active,"Feb 22, 2005"
Samuel Adams Brick Red,Boston Beer Company (Samuel Adams),"Massachusetts, United States",Irish Red AleRanked #28,Irish Red Ale,Ranked #28, 5.2%,"84Ranked #22,367",84,"Ranked #22,367",3.74 | pDev: 14.17%,3.74,14.17%,85,524,Active,"Mar 03, 2009"
The Magician,Short's Brewing Company,"Michigan, United States",Irish Red AleRanked #97,Irish Red Ale,Ranked #97, 6.8%,"79Ranked #26,782",79,"Ranked #26,782",3.48 | pDev: 15.23%,3.48,15.23%,171,407,Active,"Mar 21, 2008"
Saranac Irish Red Ale,Matt Brewing Company / Saranac Brewery,"New York, United States",Irish Red Ale,Irish Red Ale,Na, 4.5%,77,77,Na,3.38 | pDev: 13.61%,3.38,13.61%,178,345,Active,"Jul 19, 2008"
McSorley's Irish Pale Ale,Pabst Brewing Company,"Texas, United States",Irish Red AleRanked #112,Irish Red Ale,Ranked #112, 5.5%,"73Ranked #28,013",73,"Ranked #28,013",3.17 | pDev: 17.35%,3.17,17.35%,154,335,Active,"Jan 10, 2009"
Lucky SOB,Flying Dog Brewery,"Maryland, United States",Irish Red Ale,Irish Red Ale,Na, 5.5%,81,81,Na,3.55 | pDev: 11.55%,3.55,11.55%,70,311,Active,"Mar 15, 2012"
McIlhenney's Irish Red,Alpine Beer Company,"California, United States",Irish Red Ale,Irish Red Ale,Na, 6%,83,83,Na,3.69 | pDev: 10.57%,3.69,10.57%,78,274,Active,"Dec 19, 2002"
River Falls Red Ale,Thomas Creek Brewery,"South Carolina, United States",Irish Red Ale,Irish Red Ale,Na, 5.65%,82,82,Na,3.61 | pDev: 14.4%,3.61,14.4%,70,232,Active,"Dec 18, 2002"
Jeremiah Red Ale,BJ's Chicago Pizza & Brewery Inc.,United States,Irish Red AleRanked #38,Irish Red Ale,Ranked #38, 7.3%,"84Ranked #23,076",84,"Ranked #23,076",3.71 | pDev: 12.4%,3.71,12.4%,55,207,Active,"Oct 23, 2002"
Irish Red Ale,Thomas Hooker Brewing Company,"Connecticut, United States",Irish Red Ale,Irish Red Ale,Na, 5.5%,81,81,Na,3.58 | pDev: 12.29%,3.58,12.29%,113,205,Active,"Dec 09, 2002"
Casco Bay Riptide Red Ale,Casco Bay Brewing Co.,"Maine, United States",Irish Red Ale,Irish Red Ale,Na, 5.4%,85,85,Na,3.78 | pDev: 13.49%,3.78,13.49%,114,201,Active,"Dec 31, 2000"
Danny's Irish Style Red Ale,Moylan's Brewery,"California, United States",Irish Red AleRanked #77,Irish Red Ale,Ranked #77, 6.5%,"82Ranked #25,531",82,"Ranked #25,531",3.59 | pDev: 13.93%,3.59,13.93%,128,194,Active,"Feb 07, 2008"
Red Ale,The Porterhouse Brewing Company,Ireland,Irish Red AleRanked #57,Irish Red Ale,Ranked #57, 4.2%,"83Ranked #24,478",83,"Ranked #24,478",3.65 | pDev: 13.97%,3.65,13.97%,77,186,Active,"Jun 06, 2003"
Hot Rod Red,Aviator Brewing Company,"North Carolina, United States",Irish Red Ale,Irish Red Ale,Na, 6.1%,82,82,Na,3.61 | pDev: 14.68%,3.61,14.68%,46,172,Active,"Dec 04, 2008"
Amber Ale,Starr Hill Brewery,"Virginia, United States",Irish Red Ale,Irish Red Ale,Na, 4.8%,77,77,Na,3.37 | pDev: 13.35%,3.37,13.35%,101,171,Active,"Jul 04, 2002"
Station 33 Firehouse Red,North Country Brewing,"Pennsylvania, United States",Irish Red AleRanked #100,Irish Red Ale,Ranked #100, 5.5%,"79Ranked #26,877",79,"Ranked #26,877",3.45 | pDev: 13.91%,3.45,13.91%,43,152,Active,"Apr 09, 2005"
Aviator Red,Flying Bison Brewing Company,"New York, United States",Irish Red AleRanked #40,Irish Red Ale,Ranked #40, 5.5%,"84Ranked #23,003",84,"Ranked #23,003",3.71 | pDev: 11.86%,3.71,11.86%,84,145,Active,"Mar 24, 2003"
Scarlet Fire,Tighthead Brewing Company,"Illinois, United States",Irish Red AleRanked #35,Irish Red Ale,Ranked #35, 5.6%,"84Ranked #22,701",84,"Ranked #22,701",3.72 | pDev: 11.02%,3.72,11.02%,18,133,Active,"Nov 10, 2011"
Irish Setter Red,Thirsty Dog Brewing Company,"Ohio, United States",Irish Red AleRanked #76,Irish Red Ale,Ranked #76, 5.9%,"82Ranked #25,435",82,"Ranked #25,435",3.59 | pDev: 12.53%,3.59,12.53%,45,133,Active,"Nov 08, 2001"
The Craic,Harpoon Brewery & Beer Hall,"Massachusetts, United States",Irish Red AleRanked #16,Irish Red Ale,Ranked #16, 6.9%,"85Ranked #20,420",85,"Ranked #20,420",3.79 | pDev: 10.82%,3.79,10.82%,48,131,Active,"Nov 21, 2016"
Jeremiah Red Ale,BJ's Restaurant & Brewhouse,"Arizona, United States",Irish Red AleRanked #80,Irish Red Ale,Ranked #80, 7.3%,"82Ranked #25,571",82,"Ranked #25,571",3.58 | pDev: 14.25%,3.58,14.25%,35,130,Active,"Oct 11, 2004"
Ridgetop Red,Silver City Brewery & Taproom,"Washington, United States",Irish Red AleRanked #20,Irish Red Ale,Ranked #20, 6%,"85Ranked #20,794",85,"Ranked #20,794",3.78 | pDev: 12.96%,3.78,12.96%,36,130,Active,"Jul 08, 2004"
Cherokee Red Ale,Smoky Mountain Brewery & Restaurant,"Tennessee, United States",Irish Red AleRanked #106,Irish Red Ale,Ranked #106, 5.5%,"76Ranked #27,644",76,"Ranked #27,644",3.29 | pDev: 14.89%,3.29,14.89%,40,130,Active,"Feb 04, 2003"
Maltings Irish Ale,Sullivan's Craft Brewery (1702) Ltd,Ireland,Irish Red AleRanked #3,Irish Red Ale,Ranked #3, 5%,"90Ranked #10,219",90,"Ranked #10,219",4.02 | pDev: 8.21%,4.02,8.21%,48,122,Active,"Jul 13, 2016"
The Double Magician,Short's Brewing Company,"Michigan, United States",Irish Red Ale,Irish Red Ale,Na, 8.1%,87,87,Na,3.9 | pDev: 9.23%,3.9,9.23%,27,113,Active,"Sep 10, 2016"
Lady Luck Imperial Red Ale,Karben4 Brewing,"Wisconsin, United States",Irish Red Ale,Irish Red Ale,Na, 7.5%,87,87,Na,3.85 | pDev: 11.17%,3.85,11.17%,22,113,Active,"Jun 25, 2013"
Erik The Red,Dragonmead Microbrewery,"Michigan, United States",Irish Red AleRanked #79,Irish Red Ale,Ranked #79, 5%,"82Ranked #25,522",82,"Ranked #25,522",3.58 | pDev: 11.73%,3.58,11.73%,37,113,Active,"Oct 12, 2005"
Celtic Ale,Long Ireland Beer Company,"New York, United States",Irish Red Ale,Irish Red Ale,Na, 5%,81,81,Na,3.56 | pDev: 12.36%,3.56,12.36%,27,111,Active,"Jun 11, 2009"
Newport Storm Spring Irish Red Ale,Newport Craft Brewing & Distilling Co.,"Rhode Island, United States",Irish Red Ale,Irish Red Ale,Na, 5%,81,81,Na,3.56 | pDev: 12.92%,3.56,12.92%,63,108,Active,"Jun 10, 2002"
Quinn's Amber Ale,Wachusett Brewing Company,"Massachusetts, United States",Irish Red AleRanked #104,Irish Red Ale,Ranked #104, 4.8%,"78Ranked #27,211",78,"Ranked #27,211",3.38 | pDev: 13.91%,3.38,13.91%,52,106,Active,"May 01, 2001"
Fire Chief Ale,Rock Bottom Restaurant & Brewery,United States,Irish Red AleRanked #85,Irish Red Ale,Ranked #85, 5.5%,"81Ranked #25,782",81,"Ranked #25,782",3.56 | pDev: 14.89%,3.56,14.89%,45,105,Active,"Apr 01, 2003"
Rebel Red,Franciscan Well Micro Brewery,Ireland,Irish Red AleRanked #44,Irish Red Ale,Ranked #44, 4.3%,"84Ranked #23,066",84,"Ranked #23,066",3.7 | pDev: 13.78%,3.7,13.78%,26,92,Active,"Sep 02, 2002"
Johnny Blood Red,Titletown Brewing Company,"Wisconsin, United States",Irish Red AleRanked #33,Irish Red Ale,Ranked #33, 6%,"84Ranked #22,260",84,"Ranked #22,260",3.73 | pDev: 12.33%,3.73,12.33%,30,91,Active,"Feb 26, 2003"
Hydraulion Red,Three Notch'd Brewing Company - Charlottesville Brewery & Restaurant,"Virginia, United States",Irish Red AleRanked #60,Irish Red Ale,Ranked #60, 5.3%,"83Ranked #24,415",83,"Ranked #24,415",3.64 | pDev: 11.81%,3.64,11.81%,20,91,Active,"Jan 04, 2014"
Ivanhoe,Ridgeway Brewing,"England, United Kingdom",Irish Red Ale,Irish Red Ale,Na, 5.2%,83,83,Na,3.66 | pDev: 13.39%,3.66,13.39%,69,91,Active,"Jun 06, 2004"
Red Head Red Ale,Dunedin Brewery,"Florida, United States",Irish Red Ale,Irish Red Ale,Na, 5%,80,80,Na,3.5 | pDev: 10.86%,3.5,10.86%,46,90,Active,"Aug 18, 2002"
Red Headed Step Child Irish Style Red Ale,Tall Tales Brewing Company,"Maryland, United States",Irish Red Ale,Irish Red Ale,Na, 6.5%,78,78,Na,3.35 | pDev: 18.51%,3.35,18.51%,23,86,Active,"Jun 11, 2013"
Irish Red Ale,Garrison Brewing Company,"Nova Scotia, Canada",Irish Red AleRanked #98,Irish Red Ale,Ranked #98, 5%,"80Ranked #26,646",80,"Ranked #26,646",3.46 | pDev: 17.34%,3.46,17.34%,38,82,Active,"Oct 07, 2003"
Seamus' Irish Red Ale,Sly Fox Brewing Company,"Pennsylvania, United States",Irish Red Ale,Irish Red Ale,Na, 5.6%,81,81,Na,3.56 | pDev: 9.83%,3.56,9.83%,29,79,Active,"Mar 17, 2006"
Celtic Rose,Lancaster Brewing Company,"Pennsylvania, United States",Irish Red Ale,Irish Red Ale,Na, 5%,81,81,Na,3.53 | pDev: 11.05%,3.53,11.05%,21,74,Active,"Mar 09, 2007"
Maggie's Irish Ale,Saugatuck Brewing Company,"Michigan, United States",Irish Red AleRanked #45,Irish Red Ale,Ranked #45, 5.4%,"84Ranked #22,935",84,"Ranked #22,935",3.7 | pDev: 10%,3.7,10%,19,73,Active,"Nov 05, 2013"
Wild Oats Series No. 18 - Strong Patrick Irish Red Ale,Beau's All Natural Brewing Company,"Ontario, Canada",Irish Red Ale,Irish Red Ale,Na, 6.1%,87,87,Na,3.89 | pDev: 9.77%,3.89,9.77%,31,71,Active,"Mar 16, 2012"
Red Sky Ale,Frankenmuth Brewery,"Michigan, United States",Irish Red Ale,Irish Red Ale,Na, 5.25%,79,79,Na,3.39 | pDev: 15.34%,3.39,15.34%,20,71,Active,"Jul 12, 2010"
Reilly's Red Ale,Devils Backbone Brewing Company,"Virginia, United States",Irish Red Ale,Irish Red Ale,Na, 5.5%,85,85,Na,3.76 | pDev: 10.9%,3.76,10.9%,19,70,Active,"Jul 11, 2010"
Irish Red,Diamond Bear Brewing Company,"Arkansas, United States",Irish Red AleRanked #89,Irish Red Ale,Ranked #89, 5.2%,"81Ranked #25,941",81,"Ranked #25,941",3.53 | pDev: 11.05%,3.53,11.05%,25,69,Active,"Nov 30, 2003"
Irish Red Ale,McGuire's Irish Pub,"Florida, United States",Irish Red AleRanked #66,Irish Red Ale,Ranked #66, 4.5%,"83Ranked #24,624",83,"Ranked #24,624",3.63 | pDev: 13.22%,3.63,13.22%,20,68,Active,"Nov 29, 2002"
Burly Irish Ale,The Vermont Pub & Brewery,"Vermont, United States",Irish Red AleRanked #94,Irish Red Ale,Ranked #94, 4.2%,"81Ranked #26,234",81,"Ranked #26,234",3.5 | pDev: 12.29%,3.5,12.29%,21,67,Active,"Sep 25, 2003"
Vixen Irish Red,Old Bust Head Brewing Co.,"Virginia, United States",Irish Red AleRanked #63,Irish Red Ale,Ranked #63, 5.3%,"83Ranked #24,431",83,"Ranked #24,431",3.63 | pDev: 11.57%,3.63,11.57%,17,67,Active,"Sep 01, 2014"
Fire Chief's Red Ale,Pump House Brewery,"New Brunswick, Canada",Irish Red Ale,Irish Red Ale,Na, 5.5%,81,81,Na,3.51 | pDev: 12.54%,3.51,12.54%,35,64,Active,"Nov 17, 2003"
Busted Knuckle,Gray Brewing Company,"Wisconsin, United States",Irish Red AleRanked #109,Irish Red Ale,Ranked #109, 5.2%,"75Ranked #27,842",75,"Ranked #27,842",3.16 | pDev: 19.94%,3.16,19.94%,18,62,Active,"May 12, 2010"
Bomber Mountain Amber,Black Tooth Brewing Company,"Wyoming, United States",Irish Red AleRanked #82,Irish Red Ale,Ranked #82, 4.6%,"82Ranked #25,497",82,"Ranked #25,497",3.56 | pDev: 11.52%,3.56,11.52%,15,61,Active,"Mar 21, 2011"
Donovan's Red,The Alchemist,"Vermont, United States",Irish Red AleRanked #4,Irish Red Ale,Ranked #4, 5.16%,"89Ranked #11,025",89,"Ranked #11,025",4.01 | pDev: 8.23%,4.01,8.23%,23,59,Active,"Feb 22, 2004"
Irish Red,Shannon Brewing Company,"Texas, United States",Irish Red Ale,Irish Red Ale,Na, 5.8%,85,85,Na,3.76 | pDev: 12.77%,3.76,12.77%,11,59,Active,"Sep 22, 2014"
Magic Hat Ale,Magic Hat Brewing Company,"Vermont, United States",Irish Red Ale,Irish Red Ale,Na, 4.6%,79,79,Na,3.42 | pDev: 10.23%,3.42,10.23%,13,58,Active,"Jul 02, 2015"
Sinuous,North Peak Brewing Company,"Michigan, United States",Irish Red Ale,Irish Red Ale,Na, 5.6%,82,82,Na,3.58 | pDev: 12.85%,3.58,12.85%,22,57,Active,"Mar 13, 2011"
Irish Red Ale,Sleepy Dog Brewery,"Arizona, United States",Irish Red Ale,Irish Red Ale,Na, 6.5%,81,81,Na,3.52 | pDev: 17.05%,3.52,17.05%,16,54,Active,"Feb 07, 2010"
Red Dawn,Funky Buddha Brewery,"Florida, United States",Irish Red Ale,Irish Red Ale,Na, 5.2%,82,82,Na,3.59 | pDev: 10.03%,3.59,10.03%,10,53,Active,"Aug 13, 2011"
Rockville Red,Midnight Brewery,"Virginia, United States",Irish Red AleRanked #25,Irish Red Ale,Ranked #25, 5.5%,"85Ranked #20,730",85,"Ranked #20,730",3.77 | pDev: 9.81%,3.77,9.81%,14,51,Active,"Jun 23, 2012"
Slane's Irish Ale,Diamond Knot Brewery,"Washington, United States",Irish Red AleRanked #95,Irish Red Ale,Ranked #95, 6.6%,"80Ranked #26,358",80,"Ranked #26,358",3.47 | pDev: 14.7%,3.47,14.7%,21,51,Active,"Mar 01, 2005"
Rooney's Old Irish Style Ale,Pennsylvania Brewing Company,"Pennsylvania, United States",Irish Red Ale,Irish Red Ale,Na, 5.5%,77,77,Na,3.29 | pDev: 18.24%,3.29,18.24%,13,51,Active,"Dec 29, 2011"
Irish Red,Davidson Brothers Restaurant & Brewery,"New York, United States",Irish Red Ale,Irish Red Ale,Na, 5%,81,81,Na,3.52 | pDev: 17.05%,3.52,17.05%,13,50,Active,"Sep 24, 2003"
Irish Red Ale,Picaroons Traditional Ales,"New Brunswick, Canada",Irish Red Ale,Irish Red Ale,Na, 4.8%,83,83,Na,3.65 | pDev: 14.25%,3.65,14.25%,21,50,Active,"Nov 10, 2003"
Murphy's Law Red Ale,Portsmouth Brewery,"New Hampshire, United States",Irish Red Ale,Irish Red Ale,Na, 5.5%,81,81,Na,3.51 | pDev: 15.38%,3.51,15.38%,29,49,Active,"Mar 15, 2003"
Irish Red Ale,Santa Fe Brewing Company,"New Mexico, United States",Irish Red Ale,Irish Red Ale,Na, 4.5%,82,82,Na,3.56 | pDev: 9.83%,3.56,9.83%,16,48,Active,"Jun 01, 2012"
Red Claws Ale,Gritty McDuff's Brewing Company,"Maine, United States",Irish Red Ale,Irish Red Ale,Na,Not listed,78,78,Na,3.33 | pDev: 12.61%,3.33,12.61%,16,47,Active,"Jan 27, 2010"
Bed Head Red,Lager Heads Smokehouse & Brewing Co.,"Ohio, United States",Irish Red AleRanked #93,Irish Red Ale,Ranked #93, 5.9%,"81Ranked #26,037",81,"Ranked #26,037",3.5 | pDev: 14.57%,3.5,14.57%,12,47,Active,"Feb 13, 2011"
Warbeard Irish Red,Walnut River Brewing Company,"Kansas, United States",Irish Red AleRanked #15,Irish Red Ale,Ranked #15, 5.5%,"86Ranked #19,267",86,"Ranked #19,267",3.81 | pDev: 8.92%,3.81,8.92%,17,46,Active,"Jan 03, 2014"
Red Rage,Tool Shed Brewing,"Alberta, Canada",Irish Red AleRanked #5,Irish Red Ale,Ranked #5, 5.6%,"89Ranked #11,226",89,"Ranked #11,226",4.01 | pDev: 6.98%,4.01,6.98%,14,46,Active,"Aug 18, 2013"
South Side Irish Red,Hailstorm Brewing Co.,"Illinois, United States",Irish Red AleRanked #27,Irish Red Ale,Ranked #27, 5.5%,"85Ranked #20,596",85,"Ranked #20,596",3.77 | pDev: 9.81%,3.77,9.81%,7,45,Active,"Apr 28, 2014"
Big Red Ale,O'Dempsey's,"Georgia, United States",Irish Red Ale,Irish Red Ale,Na, 6%,84,84,Na,3.66 | pDev: 12.84%,3.66,12.84%,23,45,Active,"Apr 11, 2010"
Irish Red,Wormtown Brewery,"Massachusetts, United States",Irish Red AleRanked #65,Irish Red Ale,Ranked #65, 5.5%,"83Ranked #24,328",83,"Ranked #24,328",3.62 | pDev: 8.01%,3.62,8.01%,10,45,Active,"Jan 22, 2011"
Acres O'Green Irish Red,Lone Tree Brewing Company,"Colorado, United States",Irish Red AleRanked #22,Irish Red Ale,Ranked #22, 6%,"86Ranked #20,297",86,"Ranked #20,297",3.78 | pDev: 10.32%,3.78,10.32%,8,44,Active,"Mar 21, 2013"
George Killian's,Brasserie Heineken,France,Irish Red Ale,Irish Red Ale,Na, 6.5%,76,76,Na,3.17 | pDev: 15.46%,3.17,15.46%,10,44,Active,"Aug 07, 2004"
Bulldog Red Irish Ale,Cranker's Brewery,"Michigan, United States",Irish Red Ale,Irish Red Ale,Na, 5.2%,77,77,Na,3.24 | pDev: 15.74%,3.24,15.74%,9,42,Active,"Dec 18, 2012"
Bob's 1st Ale,Magic Hat Brewing Company,"Vermont, United States",Irish Red Ale,Irish Red Ale,Na, 4.8%,85,85,Na,3.72 | pDev: 10.48%,3.72,10.48%,16,41,Active,"May 26, 1999"
Dublin Raid,HammerHeart Brewing Company,"Minnesota, United States",Irish Red Ale,Irish Red Ale,Na, 6.5%,89,89,Na,3.98 | pDev: 8.04%,3.98,8.04%,15,41,Active,"Nov 02, 2013"
McGargles Granny Mary's Red Ale,Rye River Brewing Company,Ireland,Irish Red Ale,Irish Red Ale,Na, 4.4%,81,81,Na,3.52 | pDev: 12.22%,3.52,12.22%,9,41,Active,"Jun 27, 2014"
Celtic Knot Irish Red Ale,Appalachian Brewing Company,"Pennsylvania, United States",Irish Red Ale,Irish Red Ale,Na, 4.8%,80,80,Na,3.44 | pDev: 11.05%,3.44,11.05%,14,40,Active,"Apr 17, 2005"
Red Donkey,Santorini Brewing Company,Greece,Irish Red AleRanked #62,Irish Red Ale,Ranked #62, 5.5%,"83Ranked #23,991",83,"Ranked #23,991",3.63 | pDev: 11.02%,3.63,11.02%,10,39,Active,"Apr 29, 2014"
Sunburnt Irish Red,Eight Degrees Brewing,Ireland,Irish Red AleRanked #56,Irish Red Ale,Ranked #56, 5%,"84Ranked #23,351",84,"Ranked #23,351",3.66 | pDev: 9.56%,3.66,9.56%,8,38,Active,"May 19, 2011"
Whistling Pig Red Ale,"Jasper Murdock’s Alehouse, Dining Room & Microbrewery (The Norwich Inn)","Vermont, United States",Irish Red AleRanked #13,Irish Red Ale,Ranked #13, 5.6%,"87Ranked #18,057",87,"Ranked #18,057",3.84 | pDev: 8.33%,3.84,8.33%,20,37,Active,"Mar 20, 2003"
Cardinal Ale,Ohio Brewing Company,"Ohio, United States",Irish Red Ale,Irish Red Ale,Na, 5%,75,75,Na,3.08 | pDev: 26.3%,3.08,26.3%,18,37,Active,"Oct 12, 2010"
Arrowhead Red Ale,Montauk Brewing Company,"New York, United States",Irish Red Ale,Irish Red Ale,Na, 5%,84,84,Na,3.66 | pDev: 9.84%,3.66,9.84%,13,37,Active,"Oct 18, 2013"
